Days,Death,Recovered,Infectious
0,17,557,0
1,18,657,100
2,26,944,287
3,42,1437,493
4,56,2120,683
5,82,2929,809
6,131,5580,2651
7,133,6169,589
8,171,8237,2068
9,213,9927,1690
10,259,12038,2111
11,362,16787,4749
12,426,19887,3100
13,492,23899,4012
14,564,27644,3745
15,634,30806,3162
16,719,34400,3594
17,806,37131,2731
18,906,40162,3031
19,1013,42771,2609
20,1113,44814,2043
21,1118,45232,418
22,1371,60384,15152
23,1523,66912,6528
24,1666,69055,2143
25,1770,71238,2183
26,1868,73273,2035
27,2008,75155,1882
28,2123,75655,500
29,2248,76216,561
30,2252,76846,630
31,2459,78608,1762
32,2470,78990,382
33,2630,79558,568
34,2710,80412,854
35,2771,81384,972
36,2814,82728,1344
37,2873,84152,1424
38,2943,86023,1871
39,2997,88402,2379
40,3086,90382,1980
41,3160,92994,2612
42,3255,95316,2322
43,3348,98027,2711
44,3461,101957,3930
45,3566,106088,4131
46,3807,109942,3854
47,3997,114265,4323
48,4273,119051,4786
49,4618,126527,7476
50,4929,133283,6756
51,5419,146477,13194
52,5843,157365,10888
53,6496,168598,11233
54,7177,183165,14567
55,7989,198339,15174
56,8908,215900,17561
57,10018,242987,27087
58,11510,272517,29530
59,13240,304944,32427
60,14923,339156,34212
61,16891,381711,42555
62,19208,423596,41885
63,22039,475075,51479
64,25066,535890,60815
65,28544,599820,63930
66,32387,669402,69582
67,35853,725918,56516
68,39907,790929,65011
69,44667,869371,78442
70,50699,951079,81708
71,56609,1033523,82444
72,62835,1117687,84164
73,68800,1177943,60256
74,74110,1250121,72178
75,79980,1324636,74515
76,88328,1393464,68828
77,95157,1475459,81995
78,103033,1562224,86765
79,110589,1648748,86524
80,117112,1724201,75453
81,122960,1843232,119031
82,129014,1914964,71732
83,136222,1999413,84449
84,144596,2077203,77790
85,152067,2171627,94424
86,160633,2259457,87830
87,167029,2337689,78232
88,172469,2414402,76713
89,178372,2490325,75923
90,185756,2566540,76215
91,192809,2648492,81952
92,199718,2731096,82604
93,206663,2815133,84037
94,212616,2898626,83493
95,216912,2969495,70869
96,221789,3040436,70941
97,228575,3116237,75801
98,235531,3193608,77371
99,241602,3277455,83847
100,247144,3366471,89016
101,253014,3444850,78379
102,256875,3519010,74160
103,261243,3596398,77388
104,267485,3676021,79623
105,274237,3766552,90531
106,279913,3855219,88667
107,285838,3945678,90459
108,290458,4030228,84550
109,294511,4105495,75267
110,298341,4181491,75996
111,304217,4266774,85283
112,309673,4351136,84362
113,315312,4446791,95655
114,321035,4543145,96354
115,325587,4637217,94072
116,329173,4715666,78449
117,333307,4804722,89056
118,338428,4900285,95563
119,343824,5005697,105412
120,348785,5111710,106013
121,354477,5218959,107249
122,358857,5323370,104411
123,362345,5416639,93269
124,363850,5504770,88131
125,368454,5597162,92392
126,373815,5699676,102514
127,378864,5819807,120131
128,384026,5941588,121781
129,388320,6076994,135406
130,391463,6180009,103015
131,395099,6280276,100267
132,400376,6403051,122775
133,406047,6514375,111324
134,411492,6652828,138453
135,416625,6786493,133665
136,420730,6915939,129446
137,423857,7026968,111029
138,428190,7130004,103036
139,433293,7255983,125979
140,438728,7393117,137134
141,443825,7529278,136161
142,448555,7656755,127477
143,452961,7790684,133929
144,456620,7922579,131895
145,460606,8047395,124816
146,467728,8191215,143820
147,473209,8334388,143173
148,478547,8477471,143083
149,484899,8658525,181054
150,489338,8844368,185843
151,493926,8937407,93039
152,497724,9079551,142144
153,503291,9247574,168023
154,508767,9418982,171408
155,513858,9598439,179457
156,518942,9790889,192450
157,523637,9967222,176333
158,527214,10135686,168464
159,531235,10288147,152461
160,536456,10471687,183540
161,541837,10686608,214921
162,547321,10891437,204829
163,552561,11093921,202484
164,557326,11283557,189636
165,561124,11469555,185998
166,565345,11637361,167806
167,571720,11846748,209387
168,577352,12061836,215088
169,583169,12286256,224420
170,588913,12519474,233218
171,594014,12732292,212818
172,598300,12925136,192844
173,602681,13119353,194217
174,608663,13340285,220932
175,614568,13569798,229513
176,620739,13814750,244952
177,627739,14052220,237470
178,634243,14287558,235338
179,639137,14499388,211830
180,643062,14707339,207951
181,649407,14950259,242920
182,656792,15225710,275451
183,663436,15505460,279750
184,669890,15789164,283704
185,675968,16039166,250002
186,680324,16251183,212017
187,685612,16485296,234113
188,692543,16749450,264154
189,699208,17019761,270311
190,705958,17301579,281818
191,712550,17589242,287663
192,718556,17835667,246425
193,723217,18066498,230831
194,728022,18272343,205845
